Study area,Region,Area,Point transect,Distance,Observer,MAS,HAS
Kana,Jul-92,0,1,40,TJS,50,1
Kana,Jul-92,0,1,60,TJS,50,1
Kana,Jul-92,0,1,45,TJS,50,1
Kana,Jul-92,0,1,100,TJS,50,1
Kana,Jul-92,0,1,125,TJS,50,1
Kana,Jul-92,0,1,120,TJS,50,1
Kana,Jul-92,0,1,140,TJS,50,1
Kana,Jul-92,0,1,80,TJS,50,1
Kana,Jul-92,0,2,65,TJS,64,1
Kana,Jul-92,0,2,90,TJS,64,1
Kana,Jul-92,0,2,120,TJS,64,1
Kana,Jul-92,0,2,85,TJS,64,1
Kana,Jul-92,0,2,150,TJS,64,1
Kana,Jul-92,0,3,180,TJS,77,1
Kana,Jul-92,0,3,220,TJS,77,1
Kana,Jul-92,0,3,105,TJS,77,1
Kana,Jul-92,0,3,90,TJS,77,1
Kana,Jul-92,0,3,90,TJS,77,1
Kana,Jul-92,0,4,65,TJS,92,2
Kana,Jul-92,0,4,35,TJS,92,2
Kana,Jul-92,0,4,60,TJS,92,2
Kana,Jul-92,0,5,60,TJS,113,2
Kana,Jul-92,0,5,115,TJS,113,2
Kana,Jul-92,0,5,85,TJS,113,2
Kana,Jul-92,0,5,30,TJS,113,2
Kana,Jul-92,0,5,80,TJS,113,2
Kana,Jul-92,0,6,85,TJS,127,2
Kana,Jul-92,0,6,60,TJS,127,2
Kana,Jul-92,0,6,30,TJS,127,2
Kana,Jul-92,0,6,80,TJS,127,2
Kana,Jul-92,0,6,80,TJS,127,2
Kana,Jul-92,0,6,65,TJS,127,2
Kana,Jul-92,0,6,250,TJS,127,2
Kana,Jul-92,0,7,110,TJS,140,2
Kana,Jul-92,0,7,80,TJS,140,2
Kana,Jul-92,0,7,90,TJS,140,2
Kana,Jul-92,0,7,45,TJS,140,2
Kana,Jul-92,0,7,85,TJS,140,2
Kana,Jul-92,0,7,85,TJS,140,2
Kana,Jul-92,0,8,85,TJS,152,3
Kana,Jul-92,0,8,95,TJS,152,3
Kana,Jul-92,0,8,75,TJS,152,3
Kana,Jul-92,0,8,75,TJS,152,3
Kana,Jul-92,0,8,60,TJS,152,3
Kana,Jul-92,0,8,53,TJS,152,3
Kana,Jul-92,0,8,180,TJS,152,3
Kana,Jul-92,0,9,110,TJS,164,3
Kana,Jul-92,0,9,65,TJS,164,3
Kana,Jul-92,0,9,95,TJS,164,3
Kana,Jul-92,0,9,75,TJS,164,3
Kana,Jul-92,0,9,80,TJS,164,3
Kana,Jul-92,0,9,45,TJS,164,3
Kana,Jul-92,0,10,55,TJS,177,3
Kana,Jul-92,0,10,45,TJS,177,3
Kana,Jul-92,0,10,125,TJS,177,3
Kana,Jul-92,0,10,35,TJS,177,3
Kana,Jul-92,0,11,80,TJS,189,3
Kana,Jul-92,0,11,105,TJS,189,3
Kana,Jul-92,0,11,75,TJS,189,3
Kana,Jul-92,0,11,90,TJS,189,3
Kana,Jul-92,0,12,65,TJS,202,3
Kana,Jul-92,0,12,55,TJS,202,3
Kana,Jul-92,0,12,40,TJS,202,3
Kana,Jul-92,0,12,60,TJS,202,3
Kana,Jul-92,0,12,80,TJS,202,3
Kana,Jul-92,0,13,18,SGF,42,1
Kana,Jul-92,0,13,40,SGF,42,1
Kana,Jul-92,0,13,70,SGF,42,1
Kana,Jul-92,0,13,15,SGF,42,1
Kana,Jul-92,0,13,10,SGF,42,1
Kana,Jul-92,0,14,32,SGF,58,1
Kana,Jul-92,0,14,33,SGF,58,1
Kana,Jul-92,0,15,25,SGF,70,1
Kana,Jul-92,0,15,50,SGF,70,1
Kana,Jul-92,0,15,40,SGF,70,1
Kana,Jul-92,0,15,70,SGF,70,1
Kana,Jul-92,0,16,14,SGF,83,1
Kana,Jul-92,0,16,15,SGF,83,1
Kana,Jul-92,0,16,40,SGF,83,1
Kana,Jul-92,0,17,30,SGF,107,2
Kana,Jul-92,0,17,10,SGF,107,2
Kana,Jul-92,0,17,40,SGF,107,2
Kana,Jul-92,0,18,30,SGF,119,2
Kana,Jul-92,0,18,35,SGF,119,2
Kana,Jul-92,0,18,40,SGF,119,2
Kana,Jul-92,0,18,80,SGF,119,2
Kana,Jul-92,0,18,4,SGF,119,2
Kana,Jul-92,0,19,50,SGF,132,2
Kana,Jul-92,0,19,15,SGF,132,2
Kana,Jul-92,0,19,25,SGF,132,2
Kana,Jul-92,0,19,35,SGF,132,2
Kana,Jul-92,0,19,55,SGF,132,2
Kana,Jul-92,0,20,15,SGF,145,2
Kana,Jul-92,0,20,25,SGF,145,2
Kana,Jul-92,0,20,40,SGF,145,2
Kana,Jul-92,0,21,35,SGF,156,3
Kana,Jul-92,0,21,40,SGF,156,3
Kana,Jul-92,0,21,12,SGF,156,3
Kana,Jul-92,0,22,22,SGF,174,3
Kana,Jul-92,0,22,25,SGF,174,3
Kana,Jul-92,0,22,20,SGF,174,3
Kana,Jul-92,0,23,70,SGF,188,3
Kana,Jul-92,0,23,60,SGF,188,3
Kana,Jul-92,0,23,60,SGF,188,3
Kana,Jul-92,0,23,50,SGF,188,3
Kana,Jul-92,0,24,30,SGF,199,3
Kana,Jul-92,0,24,35,SGF,199,3
