region,area,transect,length,groupid,distance,size,sex,exposure,observer,detected
SCAN,889600,1,88.76349,1,0.094,1,2,0.294946548,1,0
SCAN,889600,1,88.76349,1,0.094,1,2,0.294946548,2,1
SCAN,889600,2,105.6267,2,0.205,1,2,0.294946548,1,0
SCAN,889600,2,105.6267,2,0.205,1,2,0.294946548,2,1
SCAN,889600,3,160.29315,3,0.087,1,2,0.294946548,1,1
SCAN,889600,3,160.29315,3,0.087,1,2,0.294946548,2,0
SCAN,889600,4,114.70689,4,0.002,1,2,0.294946548,1,0
SCAN,889600,4,114.70689,4,0.002,1,2,0.294946548,2,1
SCAN,889600,5,23.53437,5,0.098,1,2,0.294946548,1,1
SCAN,889600,5,23.53437,5,0.098,1,2,0.294946548,2,0
SCAN,889600,6,113.96565,6,0.056,1,2,0.294946548,1,1
SCAN,889600,6,113.96565,6,0.056,1,2,0.294946548,2,0
SCAN,889600,7,42.99192,7,0.468,1,2,0.294946548,1,1
SCAN,889600,7,42.99192,7,0.468,1,2,0.294946548,2,0
SCAN,889600,8,44.65971,8,0.079,1,2,0.294946548,1,1
SCAN,889600,8,44.65971,8,0.079,1,2,0.294946548,2,1
SCAN,889600,9,118.5984,9,0.025,3,1,0.556315272,1,1
SCAN,889600,9,118.5984,9,0.025,3,1,0.556315272,2,1
SCAN,889600,10,117.85716,10,0.111,1,1,0.301618256,1,1
SCAN,889600,10,117.85716,10,0.111,1,1,0.301618256,2,0
SCAN,889600,11,121.37805,11,0.135,1,1,0.301618256,1,1
SCAN,889600,11,121.37805,11,0.135,1,1,0.301618256,2,0
SCAN,889600,11,121.37805,12,0.362,1,1,0.301618256,1,1
SCAN,889600,11,121.37805,12,0.362,1,1,0.301618256,2,0
SCAN,889600,11,121.37805,13,0.179,1,1,0.301618256,1,0
SCAN,889600,11,121.37805,13,0.179,1,1,0.301618256,2,1
SCAN,889600,11,121.37805,14,0.429,1,1,0.301618256,1,1
SCAN,889600,11,121.37805,14,0.429,1,1,0.301618256,2,0
SCAN,889600,11,121.37805,15,0.013,1,0,0.393931574,1,0
SCAN,889600,11,121.37805,15,0.013,1,0,0.393931574,2,1
SCAN,889600,12,61.1523,16,0.173,2,0,0.526907005,1,1
SCAN,889600,12,61.1523,16,0.173,2,0,0.526907005,2,0
SCAN,889600,12,61.1523,17,0.545,1,0,0.393931574,1,1
SCAN,889600,12,61.1523,17,0.545,1,0,0.393931574,2,1
SCAN,889600,12,61.1523,18,0.087,1,0,0.393931574,1,0
SCAN,889600,12,61.1523,18,0.087,1,0,0.393931574,2,1
SCAN,889600,12,61.1523,19,0.182,1,0,0.393931574,1,1
