Stratum label,Stratum area (sq. km),Transect label,Transect length (m),Perpendicular distance (cm),Dung-pile decay stage
High (= pen+neck),773,TRSC-KDR.1,1000,13,C1
High (= pen+neck),773,TRSC-KDR.1,1000,180,C1
High (= pen+neck),773,TRSC-KDR.1,1000,224,C1
High (= pen+neck),773,TRSC-KDR.1,1000,110,D
High (= pen+neck),773,TRSC-KDR.1,1000,202,C2
High (= pen+neck),773,TRSC-KDR.1,1000,135,D
High (= pen+neck),773,TRSC-KDR.1,1000,34,C2
High (= pen+neck),773,TRSC-KDR.1,1000,629,C2
High (= pen+neck),773,TRSC-KDR.1,1000,176,C2
High (= pen+neck),773,TRSC-KDR.1,1000,208,C2
High (= pen+neck),773,TRSC-KDR.2,1450,166,C2
High (= pen+neck),773,TRSC-KDR.3,1000,39,C2
High (= pen+neck),773,TRSC-KDR.3,1000,390,C1
High (= pen+neck),773,TRSC-KDR.3,1000,335,C2
High (= pen+neck),773,TRSC-KDR.3,1000,633,D
High (= pen+neck),773,TRSC-KDR.3,1000,198,D
High (= pen+neck),773,TRSC-KDR.3,1000,74,C1
High (= pen+neck),773,TRSC-KDR.3,1000,268,C2
High (= pen+neck),773,TRSC-KDR.3,1000,19,C1
High (= pen+neck),773,TRSC-KDR.3,1000,265,D
High (= pen+neck),773,TRSC-KDR.3,1000,347,C1
High (= pen+neck),773,TRSC-KDR.3,1000,552,C1
High (= pen+neck),773,TRSC-KDR.3,1000,215,C2
High (= pen+neck),773,TRSC-KDR.3,1000,497,D
High (= pen+neck),773,TRSC-KDR.3,1000,160,C2
High (= pen+neck),773,TRSC-KDR.3,1000,445,C2
High (= pen+neck),773,TRSC-KDR.3,1000,342,C2
High (= pen+neck),773,TRSC-KDR.3,1000,515,C2
High (= pen+neck),773,TRSC-KDR.3,1000,15,D
High (= pen+neck),773,TRSC-KDR.3,1000,22,C1
High (= pen+neck),773,TRSC-KDR.4,1075,,
High (= pen+neck),773,TRSC-KDR.5,500,,
High (= pen+neck),773,TRSC-Tbbj.1,1000,63,D
High (= pen+neck),773,TRSC-Tbbj.1,1000,174,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,25,C2
High (= pen+neck),773,TRSC-Tbbj.1,1000,25,C2
High (= pen+neck),773,TRSC-Tbbj.1,1000,405,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,371,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,444,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,9,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,318,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,236,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,1000,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,193,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,506,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,153,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,203,C1
High (= pen+neck),773,TRSC-Tbbj.1,1000,336,C2
High (= pen+neck),773,TRSC-Tbbj.1,1000,572,C2
