Study area,Region,Area,Transect,Length,Distance,Cluser Size,Object,Oberver,Detected,Sex,Exposure
GolfteesExercise,1,1680,1,210,2.68,2,1,1,1,1,1
GolfteesExercise,1,1680,1,210,2.68,2,1,2,0,1,1
GolfteesExercise,1,1680,1,210,3.33,2,2,1,1,1,0
GolfteesExercise,1,1680,1,210,3.33,2,2,2,0,1,0
GolfteesExercise,1,1680,1,210,0.34,1,3,1,1,0,0
GolfteesExercise,1,1680,1,210,0.34,1,3,2,0,0,0
GolfteesExercise,1,1680,1,210,2.53,2,4,1,1,1,1
GolfteesExercise,1,1680,1,210,2.53,2,4,2,0,1,1
GolfteesExercise,1,1680,1,210,1.46,2,5,1,1,1,0
GolfteesExercise,1,1680,1,210,1.46,2,5,2,0,1,0
GolfteesExercise,1,1680,1,210,3.8,7,6,1,1,1,0
GolfteesExercise,1,1680,1,210,3.8,7,6,2,0,1,0
GolfteesExercise,1,1680,1,210,3.17,2,7,1,1,1,0
GolfteesExercise,1,1680,1,210,3.17,2,7,2,0,1,0
GolfteesExercise,1,1680,1,210,0.36,1,8,1,1,1,0
GolfteesExercise,1,1680,1,210,0.36,1,8,2,0,1,0
GolfteesExercise,1,1680,1,210,2.41,4,9,1,1,1,0
GolfteesExercise,1,1680,1,210,2.41,4,9,2,0,1,0
GolfteesExercise,1,1680,1,210,3.01,5,10,1,1,1,0
GolfteesExercise,1,1680,1,210,3.01,5,10,2,0,1,0
GolfteesExercise,1,1680,1,210,3.57,1,11,1,1,1,1
GolfteesExercise,1,1680,1,210,3.57,1,11,2,0,1,1
GolfteesExercise,1,1680,1,210,3.05,4,12,1,1,1,0
GolfteesExercise,1,1680,1,210,3.05,4,12,2,0,1,0
GolfteesExercise,1,1680,1,210,0.79,2,13,1,1,0,0
GolfteesExercise,1,1680,1,210,0.79,2,13,2,0,0,0
GolfteesExercise,1,1680,1,210,3.11,1,14,1,1,1,0
GolfteesExercise,1,1680,1,210,3.11,1,14,2,0,1,0
GolfteesExercise,1,1680,1,210,1.8,3,15,1,1,0,1
GolfteesExercise,1,1680,1,210,1.8,3,15,2,0,0,1
GolfteesExercise,1,1680,1,210,1.51,2,16,1,1,1,1
GolfteesExercise,1,1680,1,210,1.51,2,16,2,0,1,1
GolfteesExercise,1,1680,1,210,2.11,1,17,1,1,1,1
GolfteesExercise,1,1680,1,210,2.11,1,17,2,0,1,1
GolfteesExercise,1,1680,1,210,2.1,1,18,1,1,1,0
GolfteesExercise,1,1680,1,210,2.1,1,18,2,0,1,0
GolfteesExercise,1,1680,1,210,0.02,1,19,1,1,1,0
GolfteesExercise,1,1680,1,210,0.02,1,19,2,0,1,0
GolfteesExercise,1,1680,1,210,0.11,4,20,1,1,0,0
GolfteesExercise,1,1680,1,210,0.11,4,20,2,0,0,0
GolfteesExercise,1,1680,1,210,1.92,6,21,1,0,1,0
GolfteesExercise,1,1680,1,210,1.92,6,21,2,1,1,0
GolfteesExercise,1,1680,1,210,1.3,4,22,1,0,0,0
GolfteesExercise,1,1680,1,210,1.3,4,22,2,1,0,0
GolfteesExercise,1,1680,1,210,0.73,1,23,1,0,1,0
GolfteesExercise,1,1680,1,210,0.73,1,23,2,1,1,0
GolfteesExercise,1,1680,1,210,2.43,1,24,1,0,1,0
GolfteesExercise,1,1680,1,210,2.43,1,24,2,1,1,0
GolfteesExercise,1,1680,1,210,0.83,5,25,1,0,0,1
