Study area,Region,Area,Point transect,Distance
bq,COLLINS1,0,3B,60
bq,COLLINS2,0,1B,35
bq,COLLINS2,0,2A,60
bq,COLLINS2,0,2B,30
bq,FLANDERS1,0,1A,35
bq,FLANDERS1,0,1B,65
bq,FLANDERS2,0,2A,95
bq,FLANDERS2,0,2A,95
bq,GARNTO1,0,1A,30
bq,GARNTO1,0,1A,40
bq,GARNTO1,0,1B,35
bq,GARNTO1,0,1B,55
bq,GMANNING1,0,1B,60
bq,GMANNING1,0,3A,21
bq,GMANNING1,0,3B,40
bq,GMANNING1,0,3B,51
bq,HALL1,0,3B,100
bq,HALL2,0,2A,70
bq,HALL2,0,2A,70
bq,HALL2,0,3B,29
bq,HARREL1,0,1A,50
bq,HARREL1,0,3A,80
bq,HARREL1,0,3A,80
bq,HARREL1,0,3A,52
bq,HARREL1,0,3A,52
bq,HARREL2,0,1A,75
bq,HARREL2,0,1B,25
bq,HOWARD1,0,2A,32
bq,HOWARD1,0,2A,65
bq,HOWARD2,0,1B,35
bq,HOWARD2,0,1B,35
bq,HOWARD2,0,2B,100
bq,HOWARD3,0,2B,100
bq,LORD1,0,3B,60
bq,LORD1,0,3B,60
bq,LORD2,0,2A,25
bq,LORD2,0,2A,25
bq,LORD2,0,3B,70
bq,LORD2,0,3B,70
bq,LORD3,0,3A,80
bq,MCKENZIE1,0,1B,17
bq,MCKENZIE1,0,2A,85
bq,MCKENZIE1,0,2A,70
bq,MCKENZIE1,0,2B,55
bq,MCKENZIE1,0,2B,55
bq,MCKENZIE2,0,1A,40
bq,MCKENZIE2,0,1A,40
bq,MCKENZIE2,0,2A,75
bq,MCKENZIE2,0,2B,70
bq,MEEKS1,0,1A,55
bq,MEEKS1,0,2B,70
bq,MEEKS1,0,3A,95
bq,MEEKS1,0,3B,70
bq,MMANNING2,0,1A,40
bq,MMANNING3,0,2A,50
bq,MMANNING3,0,2B,40
bq,MMANNING4,0,2B,30
bq,MMANNING5,0,1B,40
bq,MMANNING5,0,3A,20
bq,MMANNING5,0,3B,100
bq,MMANNING6,0,2B,50
bq,MMANNING6,0,2B,60
bq,OGLESBY1,0,2A,50
bq,OGLESBY1,0,2A,60
bq,OGLESBY1,0,2B,60
bq,OGLESBY1,0,2B,30
bq,OGLESBY1,0,3B,55
bq,OGLESBY2,0,3A,95
bq,PEACOCK1,0,1A,80
bq,PEACOCK1,0,2B,40
bq,PEACOCK1,0,3B,59
bq,PEACOCK1,0,3B,59
bq,SHERROD1,0,1A,75
bq,SHERROD1,0,2A,99
bq,SHERROD1,0,3A,90
bq,SHERROD2,0,3A,100
bq,SHERROD2,0,3A,100
bq,SHERROD2,0,3A,80
bq,SHERROD2,0,3B,90
bq,SHERROD3,0,3B,25
bq,SHERROD4,0,1A,20
bq,SHERROD4,0,1B,45
bq,SHERROD4,0,2B,40
bq,SHERROD4,0,3A,47
bq,SHERROD4,0,3B,32
bq,SHERROD5,0,3A,75
bq,SHERROD6,0,1B,60
bq,SHERROD6,0,2A,50
bq,SHERROD6,0,2A,50
bq,SHERROD6,0,3B,65
bq,SHERROD6,0,3B,75
bq,STEPHENSON4,0,2A,40
bq,STEPHENSON4,0,3A,36
bq,STEPHENSON4,0,3A,37
bq,STRANGE1,0,1A,100
bq,STRANGE1,0,1B,30
bq,STRANGE2,0,3A,50
bq,STRANGE2,0,3B,75
bq,STRANGE3,0,1A,40
bq,STRANGE3,0,2B,50
bq,STRANGE3,0,3B,55
bq,STRANGE3,0,3B,70
bq,STRANGE3,0,3B,70
bq,STRANGE4,0,3B,95
bq,STRANGE4,0,3B,75
bq,WILLIAMS1,0,2B,55
bq,WILLIAMS1,0,3A,60
bq,WILLIAMS1,0,3A,60
