Block,Area,Points,Measured Distance,Observer
0,16,1,12,1
0,16,1,10,1
0,16,1,24,2
0,16,1,28,3
0,16,1,24,4
0,16,1,24,4
0,16,1,24,4
0,16,2,30,1
0,16,2,11,3
0,16,2,14,4
0,16,3,28,1
0,16,3,23,2
0,16,3,26,3
0,16,3,30,4
0,16,4,45,4
0,16,5,,
0,16,6,20,1
0,16,6,12,1
0,16,6,21,2
0,16,6,21,2
0,16,6,12,3
0,16,6,23,4
0,16,6,23,4
0,16,7,37,3
0,16,7,26,4
0,16,7,26,4
0,16,7,26,4
0,16,8,27,4
0,16,9,18,3
0,16,9,26,4
0,16,10,31,1
0,16,10,8,2
0,16,10,8,2
0,16,10,31,4
0,16,11,21,4
0,16,12,,
0,16,13,17,2
0,16,13,17,2
0,16,13,12,3
0,16,14,11,2
0,16,14,28,2
0,16,15,50,3
0,16,15,20,3
0,16,15,24,4
0,16,16,19,2
1,16,1,48,1
1,16,1,13,3
1,16,2,17,1
1,16,2,17,1
1,16,2,6,2
1,16,2,6,2
1,16,2,27,2
1,16,2,27,2
1,16,2,5,2
1,16,2,9,3
1,16,2,9,3
1,16,2,7,4
1,16,2,15,4
1,16,2,15,4
1,16,3,39,1
1,16,3,12,3
1,16,4,18,1
1,16,4,39,2
1,16,4,13,3
1,16,5,29,1
1,16,5,11,2
1,16,5,23,4
1,16,5,15,4
1,16,6,31,1
1,16,6,20,2
1,16,6,20,2
1,16,6,14,2
1,16,6,50,2
1,16,6,37,4
1,16,7,31,1
1,16,7,5,1
1,16,7,9,2
1,16,7,14,4
1,16,8,35,1
1,16,8,22,1
1,16,8,32,1
1,16,8,42,2
1,16,8,31,2
1,16,8,10,4
1,16,9,42,1
1,16,9,24,1
1,16,9,44,2
1,16,9,44,2
1,16,9,7,3
1,16,9,5,4
1,16,9,39,4
1,16,9,32,4
1,16,9,24,4
1,16,10,18,1
1,16,10,9,2
1,16,10,9,2
1,16,10,39,2
1,16,10,10,3
1,16,11,34,1
1,16,11,17,2
1,16,11,6,2
1,16,11,10,3
1,16,11,23,4
1,16,11,23,4
1,16,11,23,4
1,16,12,26,1
1,16,12,26,1
1,16,12,26,1
1,16,12,3,1
1,16,12,48,2
1,16,12,25,2
1,16,12,7,3
1,16,12,40,4
1,16,12,26,4
1,16,13,28,1
1,16,13,43,1
1,16,13,40,2
