No.,Transect,Length (km),PPD (m),Zone
1,Bebiyong A,2,19.57,Centre
2,Bebiyong A,2,29.42,Centre
3,Bebiyong A,2,27.54,Centre
4,Bebiyong A,2,4.66,Centre
5,Bebiyong A,2,5.71,Centre
6,Bebiyong A,2,3.19,Centre
7,Bebiyong A,2,6.13,Centre
8,Bebiyong A,2,30.25,Centre
9,Bebiyong A,2,36.38,Centre
10,Bebiyong A,2,22.06,Centre
11,Bebiyong A,2,23.97,Centre
12,Bebiyong A,2,10.52,Centre
13,Bebiyong A,2,7.53,Centre
14,Bebiyong A,2,5.26,Centre
16,Bebiyong A,2,25.26,Centre
17,Bebiyong A,2,22.63,Centre
18,Bebiyong A,2,9.92,Centre
19,Bebiyong A,2,18.56,Centre
20,Bebiyong A,2,12.83,Centre
21,Bebiyong A,2,18.43,Centre
22,Bebiyong A,2,20.82,Centre
23,Bebiyong A,2,13.47,Centre
24,Bebiyong A,2,17.62,Centre
25,Bebiyong A,2,18.43,Centre
26,Bebiyong A,2,9.62,Centre
27,Bebiyong A,2,3.57,Centre
28,Bebiyong A,2,22.7,Centre
29,Bebiyong A,2,25.83,Centre
30,Bebiyong A,2,2.23,Centre
31,Bebiyong A,2,12.83,Centre
32,Bebiyong A,2,21.88,Centre
33,Bebiyong A,2,38.75,Centre
34,Bebiyong A,2,24.76,Centre
35,Bebiyong A,2,6.33,Centre
36,Bebiyong A,2,13.42,Centre
37,Bebiyong B,2,15.82,Centre
38,Bebiyong B,2,2.86,Centre
39,Bebiyong B,2,10.69,Centre
40,Bebiyong B,2,6.56,Centre
41,Bebiyong B,2,4.2,Centre
42,Bebiyong B,2,27.87,Centre
43,Bebiyong B,2,44.32,Centre
44,Bebiyong B,2,1.11,Centre
45,Bebiyong B,2,11.87,Centre
46,Bebiyong B,2,16.92,Centre
47,Bebiyong B,2,6.37,Centre
48,Bebiyong B,2,6.37,Centre
49,Bebiyong B,2,21.15,Centre
50,Bebiyong B,2,20.58,Centre
51,Bebiyong B,2,2.89,Centre
52,Bebiyong B,2,6.59,Centre
53,Bebiyong B,2,32.64,Centre
54,Bebiyong B,2,21.38,Centre
55,Bebiyong B,2,23.43,Centre
56,Bebiyong B,2,18.35,Centre
57,Bebiyong B,2,11.9,Centre
58,Bebiyong B,2,1.5,Centre
59,Bebiyong B,2,12.2,Centre
60,Bebiyong B,2,14.42,Centre
61,Bebiyong B,2,6.57,Centre
62,Bebiyong B,2,0.62,Centre
63,Bebiyong B,2,13.48,Centre
64,Bebiyong B,2,1.93,Centre
65,Bebiyong B,2,12.51,Centre
66,Bebiyong B,2,15.58,Centre
67,Bebiyong B,2,29.46,Centre
