Stratum,StratumArea,Line transect,Transect Length,Distance
MainArea,0,1,2200,
MainArea,0,2,2200,
MainArea,0,3,2200,
MainArea,0,4,2200,
MainArea,0,5,2200,
MainArea,0,6,2200,
MainArea,0,7,2200,
MainArea,0,8,2200,
MainArea,0,9,2200,
MainArea,0,10,2200,
MainArea,0,11,2200,
MainArea,0,12,2200,
MainArea,0,13,2200,6.972459
MainArea,0,13,2200,27.36161
MainArea,0,13,2200,80.83981
MainArea,0,14,2200,59.41608
MainArea,0,15,2200,0.5233595
MainArea,0,16,2200,28.66944
MainArea,0,17,2200,44.99513
MainArea,0,18,2200,6.511363
MainArea,0,19,2200,43.57112
MainArea,0,20,2200,39.84779
MainArea,0,21,2200,49.49747
MainArea,0,22,2200,
MainArea,0,23,2200,
MainArea,0,24,2200,
MainArea,0,25,2200,26.76522
MainArea,0,26,2200,51.62188
MainArea,0,26,2200,88.6327
MainArea,0,27,2200,69.94314
MainArea,0,28,2200,74.34267
MainArea,0,29,2200,8.998042
MainArea,0,30,2200,
MainArea,0,31,2200,
MainArea,0,32,2200,
MainArea,0,33,2200,
MainArea,0,34,2200,
MainArea,0,35,2200,
MainArea,0,36,2200,
MainArea,0,37,2200,1.218693
MainArea,0,38,2200,
MainArea,0,39,2200,
MainArea,0,40,2200,
MainArea,0,41,2200,
MainArea,0,42,2200,
MainArea,0,43,2200,
MainArea,0,44,2200,
MainArea,0,45,2200,
MainArea,0,46,2200,
MainArea,0,47,2200,
MainArea,0,48,2200,
MainArea,0,49,2200,55.16075
MainArea,0,50,2200,29.58328
MainArea,0,51,2200,
MainArea,0,52,2200,
MainArea,0,53,2200,
MainArea,0,54,2200,
MainArea,0,55,2200,
MainArea,0,56,2200,
MainArea,0,57,2200,
MainArea,0,58,2200,
MainArea,0,59,2200,
MainArea,0,60,2200,
MainArea,0,61,2200,23.38974
MainArea,0,62,2200,1.831758
MainArea,0,62,2200,27.35118
MainArea,0,63,2200,19.0809
MainArea,0,64,2200,
MainArea,0,65,2200,
MainArea,0,66,2200,
MainArea,0,67,2200,
MainArea,0,68,2200,
MainArea,0,69,2200,
MainArea,0,70,2200,
MainArea,0,71,2200,
MainArea,0,72,2200,
MainArea,0,73,2200,0
MainArea,0,74,2200,0.29669
MainArea,0,74,2200,0.62819
MainArea,0,74,2200,0.62819
MainArea,0,75,2200,2.78346
MainArea,0,76,2200,
MainArea,0,77,2200,
MainArea,0,78,2200,
MainArea,0,79,2200,
MainArea,0,80,2200,
MainArea,0,81,2200,
MainArea,0,82,2200,
MainArea,0,83,2200,
MainArea,0,84,2200,
MainArea,0,85,2200,1.74497
MainArea,0,85,2200,1.22167
MainArea,0,86,2200,1.39173
MainArea,0,87,2200,31.77933
MainArea,0,87,2200,31.25849
MainArea,0,88,2200,78.53017
MainArea,0,89,2200,68.51591
MainArea,0,90,2200,20.45995
MainArea,0,91,2200,
MainArea,0,92,2200,
MainArea,0,93,2200,
MainArea,0,94,2200,
MainArea,0,95,2200,
MainArea,0,96,2200,
MainArea,0,97,2200,81.43089
MainArea,0,98,2200,39.99391
MainArea,0,99,2200,0.5235722
MainArea,0,100,2200,0.2966909
MainArea,0,101,2200,84.02224
MainArea,0,101,2200,33.93667
MainArea,0,102,2200,
MainArea,0,103,2200,
MainArea,0,104,2200,
MainArea,0,105,2200,
MainArea,0,106,2200,
MainArea,0,107,2200,
MainArea,0,108,2200,
MainArea,0,109,2200,45.96194
MainArea,0,110,2200,24.41761
MainArea,0,111,2200,20.60152
MainArea,0,112,2200,
MainArea,0,113,2200,
MainArea,0,114,2200,
MainArea,0,115,2200,
MainArea,0,116,2200,
MainArea,0,117,2200,
MainArea,0,118,2200,
MainArea,0,119,2200,
MainArea,0,120,2200,
MainArea,0,121,2200,59.04531
MainArea,0,122,2200,56.01482
MainArea,0,122,2200,6.742918
MainArea,0,122,2200,6.742918
MainArea,0,123,2200,55.57267
MainArea,0,123,2200,30.18838
MainArea,0,124,2200,81.5677
MainArea,0,125,2200,0.5235722
MainArea,0,126,2200,
MainArea,0,127,2200,
MainArea,0,128,2200,
MainArea,0,129,2200,
MainArea,0,130,2200,
MainArea,0,131,2200,
MainArea,0,132,2200,
MainArea,0,133,2200,1.670077
MainArea,0,134,2200,3.299315
MainArea,0,134,2200,3.299315
MainArea,0,135,2200,
MainArea,0,136,2200,
MainArea,0,137,2200,
MainArea,0,138,2200,
MainArea,0,139,2200,
MainArea,0,140,2200,
MainArea,0,141,2200,
MainArea,0,142,2200,
MainArea,0,143,2200,
MainArea,0,144,2200,
