"","V1","V2"
"1",1,27.65
"2",1,9
"3",1,0.42
"4",1,0
"5",1,8.9
"6",1,17.82
"7",1,27.91
"8",1,23.7
"9",1,43.6
"10",1,38.35
"11",1,16.25
"12",1,25.62
"13",1,13.54
"14",1,29.5
"15",1,6.75
"16",1,39.35
"17",1,2.48
"18",1,11.37
"19",1,20.35
"20",1,15.95
"21",1,2.13
"22",1,20.43
"23",1,13.05
"24",1,36.5
"25",1,4.53
"26",1,8.08
"27",1,26
"28",1,40.93
"29",1,11.62
"30",1,34.6
"31",2,20.31
"32",2,15.79
"33",2,31.85
"34",2,0
"35",2,15.92
"36",2,31.3
"37",3,3.55
"38",3,8.55
"39",3,24.1
"40",3,5.95
"41",3,15.87
"42",3,23.2
"43",3,29.13
"44",3,8.62
"45",3,18.34
"46",3,42.45
"47",3,28.85
"48",3,45.1
"49",3,24.5
"50",3,22.03
"51",3,36.66
"52",3,15.05
"53",3,47.94
"54",3,28.6
"55",3,12.62
"56",3,22.8
"57",3,3.4
"58",3,39.2
"59",3,12.47
